lat,lon,name,admin1,admin2,cc,coord_tuple
25.41111,55.43504,Ajman,Ajman,,AE,"('25.3956726', '55.453965')"
21.54238,39.19797,Jeddah,Makkah,,SA,"('21.5283677', '39.2172794')"
51.54057,-0.14334,Camden Town,England,Greater London,GB,"('51.5188014', '-0.153879')"
23.80366,72.39101,Unjha,Gujarat,Mahesana,IN,"('23.6192919', '72.3471336')"
-33.91799,25.57007,Port Elizabeth,Eastern Cape,Nelson Mandela Bay Metropolitan Municipality,ZA,"('-33.97804', '25.60452')"
25.33737,55.41206,Sharjah,Ash Shariqah,,AE,"('25.2711081', '55.3055278')"
31.76904,35.21633,Jerusalem,Jerusalem,,IL,"('31.752391', '35.2087832')"
39.02029,-0.64621,Anna,Valencia,Provincia de Valencia,ES,"('39.0220863', '-0.6428232')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.108303', '55.222991')"
32.65518,-79.94037,Folly Beach,South Carolina,Charleston County,US,"('32.654805', '-79.939551')"
24.19167,55.76056,Al Ain,Abu Dhabi,,AE,"('24.0570035', '55.7779887')"
25.0657,55.17128,Dubai,Dubai,,AE,"('25.1890542', '55.2628406')"
